date,yt_pred_time_trend_1_dummy,yt_pred_time_trend_2_dummy,yt_pred_time_trend_3_dummy,yt_true
1946-01-01,1095.0249999999992,1444.1986161805073,1197.38923890143,890
1946-02-01,1077.3934210526309,1417.7272045877276,1182.2558001361904,992
1946-03-01,1214.0776315789465,1545.5715803337537,1321.1474334396953,979
1946-04-01,1322.1302631578938,1644.7843762768762,1431.1167703908927,959
1946-05-01,1385.0249999999992,1698.8392767431899,1495.6374952003086,1110
1946-06-01,1539.4986842105254,1844.473122881762,1651.4464499732069,1546
1946-07-01,1929.709210526315,2225.843808421344,2042.7015294464286,1539
1946-08-01,3034.4986842105254,3321.7934352765697,3148.244838883133,3401
1946-09-01,2284.709210526315,2563.1641266766196,2398.9184835464766,2092
1946-10-01,1815.6565789473675,2085.2716571629962,1930.0382529101455,1436
1946-11-01,1636.130263157894,1896.9055003584456,1750.3936206583487,1301
1946-12-01,1397.6039473684202,1649.5393429107253,1511.4582710016132,1287
1947-01-01,1220.8175438596481,1464.4041988594968,1362.5325221780936,1488
1947-02-01,1203.1859649122798,1438.9149915567698,1344.9249807775227,1517
1947-03-01,1339.8701754385957,1567.7415715928482,1481.3748133795789,1707
1947-04-01,1447.922807017543,1667.9365718260235,1588.9346515632092,1729
1947-05-01,1510.8175438596481,1722.9736765823898,1651.0781795389403,1788
1947-06-01,1665.2912280701746,1869.5897270110145,1804.5422394120358,2008
1947-07-01,2055.501754385964,2251.9426168406494,2193.484725919337,2203
1947-08-01,3160.291228070175,3348.874447985927,3296.747744324003,3713
1947-09-01,2410.501754385964,2591.22734367603,2545.1733998891905,2946
1947-10-01,1941.4491228070167,2114.317078452459,2074.077482088585,2082
1947-11-01,1761.9228070175432,1926.933125937961,1892.2494646063958,2033
1947-12-01,1523.3964912280694,1680.5491727802935,1651.1630316531505,1937
1948-01-01,1346.6100877192973,1496.3962330191175,1500.1185014670027,1711
1948-02-01,1328.978508771929,1471.889230006443,1480.4244806376864,1775
1948-03-01,1465.6627192982446,1601.698014332574,1614.8201357448786,1902
1948-04-01,1573.7153508771921,1702.8752188558021,1720.3580983675274,1846
1948-05-01,1636.6100877192973,1758.894527902221,1780.5120527161591,2083
1948-06-01,1791.0837719298238,1906.4927826208982,1932.0188408960373,2262
1948-07-01,2181.2942982456134,2289.8278767405855,2319.036357644003,2193
1948-08-01,3286.083771929824,3387.7419121759162,3420.406708223216,3792
1948-09-01,2536.2942982456134,2631.0770121560718,2666.9719978968324,2343
1948-10-01,2067.241666666666,2155.148951222553,2194.048016138538,2313
1948-11-01,1887.7153508771921,1968.7472029981077,2010.4242366325423,2179
1948-12-01,1649.1890350877184,1723.3454541304927,1767.574343589372,1975
1949-01-01,1472.4026315789465,1540.1747186593693,1614.7986552471816,1880
1949-02-01,1454.7710526315782,1516.6499199367477,1593.405778195705,1930
1949-03-01,1591.4552631578938,1647.4409085529314,1726.1348790146185,2060
1949-04-01,1699.507894736841,1749.6003173662118,1830.0385892828713,1843
1949-05-01,1762.4026315789465,1806.6018307026832,1888.5905932109888,2052
1949-06-01,1916.8763157894728,1955.1822897114132,2038.527732904235,2039
1949-07-01,2307.0868421052623,2339.499588121153,2424.007903099451,2351
1949-08-01,3411.8763157894728,3438.395827846536,3523.873209059796,3394
1949-09-01,2662.0868421052623,2682.7131321167444,2768.9657560484266,3581
1949-10-01,2193.034210526315,2207.7672754732785,2294.601333539029,2489
1949-11-01,2013.5078947368413,2022.3477315388857,2109.569415215811,2468
